,name,link,Academics,Value,Diversity,Campus,Athletics,Party_Scene,Professors,Location,Dorms,Campus_Food,Student_Life,Safety,des,street,city,state,zip,Accept_Rate,SAT,ACT,Application_fee,Price_per_year,major_rank,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT
321,Monmouth University,https://www.niche.com/colleges/monmouth-university/,B,A-,B+,A-,A-,A-,B+,A,C+,B-,A-,B+,"Monmouth is an above-average private university located in West Long Branch, New Jersey in the New York City Area. It is a small institution with an enrollment of 4,502 undergraduate students. Admissions is somewhat competitive as the Monmouth acceptance rate is 74%. Popular majors include Business, Communications, and Education. Graduating 70% of students, Monmouth alumni go on to earn a starting salary of $38,500.",400 Cedar Ave,West Long Branch,NJ,7764,74%,970-1190,19-26,$50 ,"$31,300 ",Business; Communications; Education; Health Service Preparatory Studies; English; Psychology; Biology; Physical Education Teaching and Coaching; Social Work and Youth Services; Political Science and Government; ,74%,"9,261",970-1190,490-600,480-590,81%
322,Alfred University,https://www.niche.com/colleges/alfred-university/,B+,A-,A,C,B-,B,A-,B-,B-,C-,B,B-,"AlfredU is an above-average private university located in Alfred, New York. It is a small institution with an enrollment of 1,600 undergraduate students. Admissions is somewhat competitive as the AlfredU acceptance rate is 63%. Popular majors include Studio Arts, Mechanical Engineering, and Psychology. Graduating 53% of students, AlfredU alumni go on to earn a starting salary of $30,700.",One Saxon Drive,Alfred,NY,14802,63%,990-1210,21-26,$0 ,"$21,566 ",Studio Arts; Mechanical Engineering; Psychology; Materials Engineering; Accounting; Athletic Training; Biology; Marketing; Engineering; Liberal Arts and Humanities; ,63%,"3,566",990-1210,490-610,500-600,90%
323,Murray State University,https://www.niche.com/colleges/murray-state-university/,B,B,A-,A-,B+,B,A-,B,B,A-,A-,B,"Murray State is an above-average public university located in Murray, Kentucky. It is a mid-size institution with an enrollment of 6,584 undergraduate students. The Murray State acceptance rate is 87%. Popular majors include Liberal Arts and Humanities, Business, and Nursing. Graduating 49% of students, Murray State alumni go on to earn a starting salary of $28,700.",102 Curris Center,Murray,KY,42071,87%,980-1190,21-27,$40 ,"$11,562 ",Liberal Arts and Humanities; Business; Nursing; Social Work and Youth Services; Agriculture; Occupational Safety and Health Technician; Veterinary Technician and Assistant; Elementary Education; Research and Experimental Psychology; Kinesiology and Exercise Science; ,87%,"6,900",980-1190,470-560,510-630,8%
324,Montana Technological University,https://www.niche.com/colleges/montana-technological-university/,B,A-,A-,B-,B-,A-,A-,B+,B,B-,B+,A+,"Montana Tech is an above-average public university located in Butte, Montana. It is a small institution with an enrollment of 1,529 undergraduate students. The Montana Tech acceptance rate is 92%. Popular majors include Mining and Petroleum Engineering, Engineering, and Nursing. Graduating 41% of students, Montana Tech alumni go on to earn a starting salary of $34,700.",1300 W Park St,Butte,MT,59701,92%,1120-1300,22-27,$30 ,"$12,104 ",Mining and Petroleum Engineering; Engineering; Nursing; Business; Public Health; Mechanical Engineering; Environmental Engineering; Civil Engineering; Materials Engineering; Electrical Engineering; ,92%,630,1120-1300,540-630,580-670,16%
325,William Jessup University,https://www.niche.com/colleges/william-jessup-university/,B,B+,A-,A,B-,C-,B-,B+,A+,A+,A-,B+,"William Jessup is an above-average private, non-denominational university located in Rocklin, California in the Sacramento Area. It is a small institution with an enrollment of 987 undergraduate students. Admissions is somewhat competitive as the William Jessup acceptance rate is 66%. Popular majors include Psychology, Business, and Elementary Education. Graduating 64% of students, William Jessup alumni go on to earn a starting salary of $34,600.",2121 University Avenue,Rocklin,CA,95765,66%,1000-1220,21-26,$45 ,"$22,503 ",Psychology; Business; Elementary Education; English; Biology; Kinesiology and Exercise Science; Religious Vocations; Music History and Literature; Political Science and Government; Substance Abuse and Addiction Counseling; ,66%,816,1000-1220,500-600,500-610,77%
326,SUNY Geneseo,https://www.niche.com/colleges/suny-geneseo/,B+,A,B+,B-,B-,B+,B,C+,B-,B,B,B-,"SUNY Geneseo is an above-average public college located in Geneseo, New York. It is a mid-size institution with an enrollment of 5,452 undergraduate students. Admissions is somewhat competitive as the SUNY Geneseo acceptance rate is 72%. Popular majors include Psychology, Biology, and Business. Graduating 77% of students, SUNY Geneseo alumni go on to earn a starting salary of $35,700.",1 College Circle,Geneseo,NY,14454,72%,1120-1300,24-29,$50 ,"$16,958 ",Psychology; Biology; Business; Communications; English; Accounting; Special Education and Teaching; Sociology; International Relations; Mathematics; ,72%,"8,789",1120-1300,570-650,550-650,68%
327,Milligan College,https://www.niche.com/colleges/milligan-college/,B+,A-,B-,B,B,C,A-,B-,A-,C+,B,A,"Milligan is an above-average private, Christian college located in Elizabethton, Tennessee in the Kingsport Area. It is a small institution with an enrollment of 764 undergraduate students. Admissions is fairly competitive as the Milligan acceptance rate is 58%. Popular majors include Nursing, Business, and Psychology. Graduating 64% of students, Milligan alumni go on to earn a starting salary of $30,600.",1 Blowers Blvd.,Milligan College,TN,37682,58%,1000-1220,23-27,$30 ,"$20,546 ",Nursing; Business; Psychology; Early Childhood Education; Physical Education Teaching and Coaching; Communications; English; Visual and Performing Arts; Accounting; Information Science; ,58%,722,1000-1220,500-630,500-590,34%
328,Adventist University of Health Sciences,https://www.niche.com/colleges/adventist-university-of-health-sciences/,B-,A-,A,A-,NG,C+,B+,A-,C-,NG,A-,A,"Adventist University is an above-average private, Christian university located in Orlando, Florida. It is a small institution with an enrollment of 575 undergraduate students. The Adventist University acceptance rate is 97%. Popular majors include Nursing, Radiologic Technician, and Health Service Preparatory Studies. Graduating 19% of students, Adventist University alumni go on to earn a starting salary of $48,700.",671 Winyah Drive,Orlando,FL,32803,97%,920-1050,19-23,$20 ,"$18,866 ",Nursing; Radiologic Technician; Health Service Preparatory Studies; Sonographer and Ultrasound Technician; Biomedical Sciences and Molecular Medicine; Occupational Therapist Assistant; Nuclear Medical Technician; Healthcare Management; Liberal Arts and Humanities; ,97%,317,920-1050,470-540,450-510,83%
329,SUNY New Paltz,https://www.niche.com/colleges/suny-new-paltz/,B+,A-,A-,B,C+,A-,B,A-,C+,C+,A-,B+,"SUNY New Paltz is an above-average public college located in New Paltz, New York. It is a mid-size institution with an enrollment of 6,235 undergraduate students. Admissions is fairly competitive as the SUNY New Paltz acceptance rate is 44%. Popular majors include Psychology, Communications, and Elementary Education. Graduating 72% of students, SUNY New Paltz alumni go on to earn a starting salary of $31,900.",1 Hawk Drive,New Paltz,NY,12561,44%,1100-1260,23-28,$50 ,"$14,496 ",Psychology; Communications; Elementary Education; Business; Digital Communication and Media/Multimedia; Sociology; English; Communication Disorders; Accounting; Biology; ,44%,"13,753",1100-1260,560-640,540-620,86%
330,Florida A&M University,https://www.niche.com/colleges/florida-a-and-m-university/,B+,B,B+,B-,B,A+,B+,B-,C-,B+,A-,C+,"Florida A&M is an above-average public university located in Tallahassee, Florida. As a historically black college, FAMU has a strong history of and commitment to the education of black Americans. It is a mid-size institution with an enrollment of 6,875 undergraduate students. Admissions is fairly competitive as the Florida A&M acceptance rate is 46%. Popular majors include Liberal Arts and Humanities, Health Service Preparatory Studies, and Business. Graduating 48% of students, Florida A&M alumni go on to earn a starting salary of $26,100.",1500 S Martin Luther King Jr Blvd,Tallahassee,FL,32307,46%,1000-1140,18-22,$35 ,"$13,529 ",Liberal Arts and Humanities; Health Service Preparatory Studies; Business; Criminal Justice and Safety Studies; Psychology; Biology; Nursing; Social Work and Youth Services; Healthcare Management; Political Science and Government; ,46%,"7,533",1000-1140,500-580,500-560,35%
331,University of Nebraska at Omaha,https://www.niche.com/colleges/university-of-nebraska-at-omaha/,B,A-,A,A-,B+,B,B,A,A,A-,B,B+,"Nebraska at Omaha is an above-average public university located in Omaha, Nebraska. It is a mid-size institution with an enrollment of 9,820 undergraduate students. The Nebraska at Omaha acceptance rate is 87%. Popular majors include Criminal Justice and Safety Studies, Business, and Finance. Graduating 47% of students, Nebraska at Omaha alumni go on to earn a starting salary of $34,400.",6001 Dodge St,Omaha,NE,68182,87%,840-1100,19-26,$45 ,"$11,727 ",Criminal Justice and Safety Studies; Business; Finance; Psychology; Marketing; Banking and Finance; Biology; Liberal Arts and Humanities; Elementary Education; Accounting; ,87%,"9,158",840-1100,420-560,420-540,1%
332,Spalding University,https://www.niche.com/colleges/spalding-university/,B,B+,B+,B,C+,B-,B,B+,B+,A-,B+,A,"Spalding is an above-average private, Catholic university located in Louisville, Kentucky. It is a small institution with an enrollment of 916 undergraduate students. Admissions is fairly competitive as the Spalding acceptance rate is 59%. Popular majors include Nursing, Business, and Health Service Preparatory Studies. Graduating 45% of students, Spalding alumni go on to earn a starting salary of $36,900.",901 S 4th St.,Louisville,KY,40203,59%,980-1120,18-23,$20 ,"$20,619 ",Nursing; Business; Health Service Preparatory Studies; Psychology; Accounting; Social Work and Youth Services; Natural Sciences; Communications; High School Education; Social Science Research Methods; ,59%,934,980-1120,490-580,490-540,10%
333,Xavier University of Louisiana,https://www.niche.com/colleges/xavier-university-of-louisiana/,B+,A-,B+,D+,C+,A-,A+,B+,D,C-,C+,B+,"Xavier is an above-average private, Catholic university located in New Orleans, Louisiana. As a historically black college, Xavier Louisiana has a strong history of and commitment to the education of black Americans. It is a small institution with an enrollment of 2,155 undergraduate students. Admissions is somewhat competitive as the Xavier acceptance rate is 64%. Popular majors include Biology, Chemistry, and Psychology. Graduating 44% of students, Xavier alumni go on to earn a starting salary of $29,900.",One Drexel Drive,New Orleans,LA,70125,64%,960-1180,20-26,$0 ,"$17,034 ",Biology; Chemistry; Psychology; Public Health; Communications; Political Science and Government; Accounting; Business; Marketing; Computer Science; ,64%,"7,165",960-1180,490-590,470-590,28%
334,Mills College,https://www.niche.com/colleges/mills-college/,B+,B+,A-,B,NG,C+,B+,A-,A,B,B,B,"Mills is an above-average private college located in Oakland, California in the San Francisco Bay Area. It is a small institution with an enrollment of 739 undergraduate students. The Mills acceptance rate is 87%. Popular majors include Psychology, English, and Biology. Graduating 69% of students, Mills alumni go on to earn a starting salary of $33,300.",5000 MacArthur Blvd,Oakland,CA,94613,87%,925-1233,23-29,$50 ,"$26,086 ",Psychology; English; Biology; Sociology; Economics; Minority and Ethnic Studies; Political Science and Government; Arts; Child Development; Nursing; ,87%,961,925-1233,485-640,440-593,58%
335,Carroll College,https://www.niche.com/colleges/carroll-college/,B,A-,A-,B-,B,B,B,B,B,C,B+,A,"Carroll is an above-average private, Catholic college located in Helena, Montana. It is a small institution with an enrollment of 1,287 undergraduate students. Admissions is somewhat competitive as the Carroll acceptance rate is 78%. Popular majors include Nursing, Health Service Preparatory Studies, and Biology. Graduating 72% of students, Carroll alumni go on to earn a starting salary of $35,700.",1601 N Benton Ave,Helena,MT,59625,78%,1080-1270,22-28,$35 ,"$26,636 ",Nursing; Health Service Preparatory Studies; Biology; Business; Rehabilitation and Therapy; Psychology; Chemistry; Political Science and Government; Public Health Education; Civil Engineering; ,78%,"2,686",1080-1270,540-640,540-630,45%
336,Massachusetts College of Pharmacy & Health Sciences,https://www.niche.com/colleges/massachusetts-college-of-pharmacy--and--health-sciences/,B,A+,A,C-,NG,B,B,A+,B-,C+,B,A,"MCPHS is an above-average private college located in Boston, Massachusetts. It is a small institution with an enrollment of 3,624 undergraduate students. The MCPHS acceptance rate is 84%. Popular majors include Pharmacy and Pharmaceutical Sciences, Nursing, and Pre-Medicine Studies. Graduating 74% of students, MCPHS alumni go on to earn a starting salary of $86,700.",179 Longwood Ave,Boston,MA,2115,84%,1040-1270,22-28,$0 ,"$38,708 ",Pharmacy and Pharmaceutical Sciences; Nursing; Pre-Medicine Studies; Health Service Preparatory Studies; Sonographer and Ultrasound Technician; Dental Hygiene; Healthcare Management; Biochemistry and Molecular Biology; Medical Assistant; Nuclear Medical Technician; ,84%,"5,526",1040-1270,520-620,520-650,76%
